model_id,n_groups,frm_var,latency_var,memory_var,frm_cv,latency_cv,memory_cv,frm_mean,latency_mean,memory_mean
CN,22,1.0931134225590362,113338.63518530295,130138.03721625257,0.35900358329406323,2.9529054038239515,0.1677276235384948,2.912284710505731,114.00908356480508,2150.7876420454545
DE,22,0.08851384894138846,8283.842419485147,425568.0936609904,0.15059878500584778,2.771566868689104,0.3152920136475881,1.9755323460570728,32.83904760796202,2069.052734375
DN,118,0.07806279616612491,96289.60847245766,818810.9467322769,0.09727203264648031,1.101330146054881,1.7487176548199093,2.872328189583628,281.7553578541004,517.4544491525423
EN,119,1.1918168964995953e-06,25675.440459222827,843462.4119719352,0.0010918129315914983,1.21150922548423,1.8596492379229097,0.9998999236889278,132.26112904167923,493.85770089285717
IN,118,0.5439526934492304,94531.06965922532,1995375.097572991,0.15361906138309747,0.9729911098888805,1.6091901609280133,4.801041483861338,315.9936925481156,877.8188559322034
LE,119,0.04357360681655684,5364.535301491175,1023882.6541132068,0.21433526332415276,0.9693712398406357,1.7864319809008598,0.9739084328039582,75.55721178865618,566.4200367647059
MN,119,0.013163574926034448,476.6950967198517,1035954.3012737257,0.1886670113609712,0.9349857575606477,1.8939238770859148,0.6081223357849889,23.351530324799363,537.4125196953781
MV2,119,0.0064851086230313945,13375.141719469126,1046952.5849177298,0.1065321458075963,1.260483163238694,1.9647344913129072,0.7559236840479383,91.75128326991798,520.7864036239496
MV3,119,0.006875474750695188,2478.9562307316337,1047922.1416171625,0.24916144435155252,1.2570994193392986,1.9890963319052901,0.3327901826049741,39.60634841402621,514.6461068802521
MX,118,0.06979347573268817,16996.406043239396,814283.2457633794,0.22586929846344977,1.2467549087384673,1.7633341478592957,1.1696346091440302,104.56767746953301,511.744438559322
R18,118,0.08483513744298196,11966.517526358637,1044762.0642917175,0.1587864284270844,0.9843146620706029,1.8179166441158612,1.8343174756518932,111.13476521205486,562.2568193855932
R50,118,0.7644216919805816,20973.287129593387,865844.4804685565,0.24138967533232564,1.0249574227327438,1.3903672381524335,3.621994701429591,141.2952057924419,669.2531448622881
SN,117,0.00917008876225078,2644.986792592428,1094752.2112165384,0.15616970602264385,1.0873316293427693,1.9881932174501349,0.6131828179625636,47.298757519402386,526.2587473290598
